Name,Award,Field,State/Country,Year
Shri Amal Kumar Shah,Padma Shri,Social Work,Bihar,1961
Shri Bhagwat Sinha Mehta,Padma Shri,Civil Service,Rajasthan,1961
Shri Bismillah Khan,Padma Shri,Art,Uttar Pradesh,1961
Shri Kartar Singh Dewana,Padma Shri,Science and Engineering,Punjab,1961
Shri Kattingeri Krishna Hebbar,Padma Shri,Art,Maharashtra,1961
Shri Man Mohan Suri,Padma Shri,Science and Engineering,Punjab,1961
Shri Martand Ramachandra Jamdar,Padma Shri,Social Work,Gujarat,1961
Shri Neyyadupakkam Duraiswami Sundaravadivelu,Padma Shri,Literature and Education,Tamil Nadu,1961
Shri Premendra Mitra,Padma Shri,Literature and Education,West Bengal,1961
Shri Raghunath Krishna Phadke,Padma Shri,Art,Madhya Pradesh,1961
Shri Soman Narboo,Padma Shri,Civil Service,Jammu & Kashmir,1961
Shri Veerangowda V Patil,Padma Shri,Social Work,Karnataka,1961
Shri Vinayak Krishna Gokak,Padma Shri,Literature and Education,Karnataka,1961
Shri Vishnukant Jha,Padma Shri,Literature and Education,Bihar,1961
Shri Vithalrao Eknathrao Vikhe Patil,Padma Shri,Trade and Industry,Maharashtra,1961
Smt. Kamalabai Hospet,Padma Shri,Social Work,Maharashtra,1961
Smt. Mithuben Petit,Padma Shri,Social Work,Gujarat,1961
Dr. Rajendra Prasad,Bharat Ratna,Public Affairs,Bihar,1962
Shri H. V. Varada Raja Iengar,Padma Vibhushan,Civil Service,Tamil Nadu,1962
Smt. Padmaja Naidu,Padma Vibhushan,Public Affairs,Telangana,1962
Smt. Vijaya Lakshmi Pandit,Padma Vibhushan,Civil Service,Uttar Pradesh,1962
Col. Mahankali Seetharama Rao,Padma Bhushan,Medicine,Andhra Pradesh,1962
Col. Ramaswamy Duraiswamy Ayyar,Padma Bhushan,Medicine,Delhi,1962
Col. Sudhansu Sobhan Maitra,Padma Bhushan,Medicine,West Bengal,1962
Dr. Daulat Singh Kothari,Padma Bhushan,Civil Service,Delhi,1962
Dr. Dukhan Ram,Padma Bhushan,Medicine,Bihar,1962
Dr. Jal R. Patel,Padma Bhushan,Medicine,Maharashtra,1962
Dr. Prem Chandra Dhanda,Padma Bhushan,Medicine,Punjab,1962
Dr. Radha Kamal Mukerjee,Padma Bhushan,Science and Engineering,Uttar Pradesh,1962
Dr. Raghunath Saran,Padma Bhushan,Medicine,Bihar,1962
Dr. Ramchandra Narayan Dandekar,Padma Bhushan,Literature and Education,Maharashtra,1962
Dr. Santosh Kumar Sen,Padma Bhushan,Medicine,West Bengal,1962
Dr. Sisir Kumar Mitra,Padma Bhushan,Literature and Education,West Bengal,1962
